Date,Ordered Product Sales,Units Ordered,Total Order Items,Average Sales per Order Item,Average Units per Order Item,Average Selling Price,Sessions,Order Item Session Percentage,Average Offer Count
2/2/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
2/3/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
2/4/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
2/5/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/6/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
2/7/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
2/8/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/9/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
2/10/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/11/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/12/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/13/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/14/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/15/21,$25.98,1,1,$25.98,1,$25.98,2,50.00%,1
2/16/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/17/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
2/18/21,$51.96,2,2,$25.98,1,$25.98,5,40.00%,1
2/19/21,$25.98,1,1,$25.98,1,$25.98,2,50.00%,1
2/20/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
2/21/21,$25.98,1,1,$25.98,1,$25.98,3,33.33%,1
2/22/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
2/23/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
2/24/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
2/25/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
2/26/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
2/27/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
2/28/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
3/1/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
