"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"1/24/2022","Order Payment","113-8666842-5057862","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/21/2022","Order Payment","112-1971966-4503412","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/21/2022","Order Payment","114-4701196-0807412","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/20/2022","Order Payment","111-0785507-3587424","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/19/2022","Order Payment","113-5071040-1697011","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/19/2022","Order Payment","111-0457998-5501019","MX-21 Two-Channel Headphone Mixer (Black...","29.98","-7.16","-8.04","7.16","21.94"
"1/18/2022","Order Payment","112-3209378-6503449","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/18/2022","Order Payment","114-9804726-5278609","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-8.04","0","21.94"
"1/17/2022","Order Payment","113-4785098-7354600","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-7.97","0","22.01"
"1/15/2022","Order Payment","112-3887979-0747462","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-7.97","0","22.01"
"1/13/2022","Order Payment","111-8028627-0818659","MX-21 Two-Channel Headphone Mixer (Black...","29.98","0","-7.97","0","22.01"
"1/12/2022","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","71.72","71.72"
"1/12/2022","Unavailable balance","---","Current Reserve Amount ","0","0","0","-71.72","-71.72"
"1/11/2022","Refund","111-4302316-1385836","MX-21 Two-Channel Headphone Mixer (Black...","-29.89","0","3.58","0","-26.31"
"1/9/2022","Order Payment","111-3754085-3596207","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"1/7/2022","Service Fees","---","FBA Inventory Storage Fee","0","0","0","-4.21","-4.21"
"1/7/2022","Order Payment","111-4302316-1385836","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"1/5/2022","Order Payment","111-5295313-4320243","MX-21 Two-Channel Headphone Mixer (Black...","29.89","-5.16","-7.95","5.16","21.94"
"1/4/2022","Order Payment","111-7828849-9378644","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"1/2/2022","Order Payment","114-8275322-1618627","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"1/2/2022","Service Fees","---","Cost of Advertising","0","0","-28.33","0","-28.33"
"12/30/2021","Order Payment","111-8619591-8130614","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/29/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","73.33","73.33"
"12/29/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-73.33","-73.33"
"12/26/2021","Order Payment","112-2160490-8963427","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/24/2021","Order Payment","114-3460314-1101869","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/21/2021","Order Payment","114-7697627-7209813","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/21/2021","Order Payment","114-3465774-6809856","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/16/2021","Order Payment","114-8883872-9421019","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
